election_event_id,voting_card_alias,voting_card_id,voting_card_set_alias,verification_card_id
ba4851320ff448b3914f6fa04b3f4235,2,e6bead8db0414b6cb73af06492658c2f,vcs_FR-BZ-1006|FR-MU-2309,04ebb945d2ae46d4b0113f3308afd322
ba4851320ff448b3914f6fa04b3f4235,1,561c9eadaaa5461fac99b6945b100674,vcs_FR-BZ-1006|FR-MU-2309,06a19ebfad134c8eb68496ff19b1a7fd
ba4851320ff448b3914f6fa04b3f4235,3,98f3e366f44045bf98249ca807ce3730,vcs_FR-BZ-1006|FR-MU-2309,07d00313b946490cb26d839aa355d538
ba4851320ff448b3914f6fa04b3f4235,4,8d7770578cd4404c89075996bdb03b82,vcs_FR-BZ-1006|FR-MU-2309,04b251cd8d4d4393bf934f026bd2c210
ba4851320ff448b3914f6fa04b3f4235,5,fd9cb940c1a54a1eb1a1db5b313b4933,vcs_FR-BZ-1006|FR-MU-2309,082dd34ecc954bc3a7f3264f4456fac8
ba4851320ff448b3914f6fa04b3f4235,6,cec51bfc08c64dc399f368453721981f,vcs_FR-BZ-1006|FR-MU-2309,09f51c50730c451882afc20cd3661154
ba4851320ff448b3914f6fa04b3f4235,7,ea9911cedac14dc6b3ff4f842fb29e3d,vcs_FR-BZ-1006|FR-MU-2309,17f7716e483e4bc8afcdcf5ac4b55f4d
ba4851320ff448b3914f6fa04b3f4235,8,b8e580d090fc47b6b766a2d90ee94adc,vcs_FR-BZ-1006|FR-MU-2309,19a018e6b93842bda806274eef1d92ed
ba4851320ff448b3914f6fa04b3f4235,9,d21d0707efd047238b3d5b35f9098a95,vcs_FR-BZ-1006|FR-MU-2309,1b8b11c368484e7aabaa5b426f6f56b0
ba4851320ff448b3914f6fa04b3f4235,10,97d66553aa2e4fb8ba0190a0d5b3454d,vcs_FR-BZ-1006|FR-MU-2309,1c70eb3430c646b88a64ea03feabfefa
ba4851320ff448b3914f6fa04b3f4235,11,c063811116564dfc82b781732a03741a,vcs_FR-BZ-1006|FR-MU-2309,1cfcb67fad9f421f9df2650259b2f7a4
ba4851320ff448b3914f6fa04b3f4235,12,88c2d19574944b3b96d9e8dc2ad1d112,vcs_FR-BZ-1006|FR-MU-2309,1cb5501037684bdcbc7015f87059da1b
ba4851320ff448b3914f6fa04b3f4235,13,1e51af6f67f2470589613b4ca1b957b9,vcs_FR-BZ-1006|FR-MU-2309,28fc4d58ef8b4e7c9b5669da4c34b21d
